KPI,Definition,Formula,Grain,Filters,Owner,Refresh_Cadence
Total Orders,Number of unique customer orders,COUNT(DISTINCT order_id),Order,None,Sales Operations Manager,Daily
Total Units Sold,Total number of units sold,SUM(quantity),Order line,None,Sales Operations Manager,Daily
Gross Sales,Total sales value before discount,SUM(quantity × unit_price),Order line,None,Sales Operations Manager,Daily
Total Discount,Total monetary value of discounts given,SUM(gross_amount × discount_pct / 100),Order line,None,Sales Operations Manager,Daily
Net Sales,Total sales value after discount,SUM(net_sales),Order line,None,Sales Operations Manager,Daily
Average Order Value,Average net sales generated per order,Net Sales / Total Orders,Order,None,Sales Operations Manager,Daily
Average Unit Price,Average selling price per unit,Net Sales / Total Units Sold,Unit,None,Sales Operations Manager,Daily
Average Discount %,Average percentage discount applied,SUM(discount_amount) / SUM(gross_amount) × 100,Order line,None,Sales Operations Manager,Daily
Paid Order Rate,Percentage of orders with Paid payment status,Paid Orders / Total Orders × 100,Order,payment_status = Paid,Sales Operations Manager,Daily
Sales by Customer Segment,Net sales grouped by customer segment,SUM(net_sales) GROUP BY customer_segment,Customer segment,None,Sales Operations Manager,Daily
Sales by City,Net sales grouped by city,SUM(net_sales) GROUP BY city,City,None,Sales Operations Manager,Daily
Sales by Category,Net sales grouped by product category,SUM(net_sales) GROUP BY category,Category,None,Sales Operations Manager,Daily
Daily Sales Trend,Net sales grouped by order date,SUM(net_sales) GROUP BY order_date,Day,None,Sales Operations Manager,Daily
